Race Session (date),Piece,KM,Rigging,Personnel,Result
1/17/2012,1,2,c/p/s/p/s,Inman/Kasprzyk/Banks/Peszek,06:44.0
1/17/2012,1,2,c/p/s/p/s,Walsh/Coppola/Stafford/Bertoldo,06:47.0
1/17/2012,1,2,c/p/s/p/s/p/s/p/s,"Blomquist/James,G./Struzyna/Otto/James,R./Guregian/Gennaro/Monaghan",06:07.0
1/17/2012,11,2,p/s,Shald/Koven,07:33.0
1/17/2012,11,2,p/s,Stangel/McEachern,07:43.0
1/17/2012,2,2,c/p/s/p/s,Inman/Kasprzyk/Banks/Peszek,06:36.0
1/17/2012,2,2,c/p/s/p/s,Walsh/Coppola/Stafford/Bertoldo,06:40.0
1/17/2012,2,2,c/p/s/p/s/p/s/p/s,"Blomquist/James,G./Struzyna/Otto/James,R./Guregian/Gennaro/Monaghan",06:00.0
1/17/2012,12,2,p/s,Shald/Koven,07:26.0
1/17/2012,12,2,p/s,Stangel/McEachern,07:36.0
1/17/2012,3,2,c/p/s/p/s,Inman/Kasprzyk/STAFFORD/BERTOLDO,06:52.0
1/17/2012,3,2,c/p/s/p/s,Walsh/Coppola/BANKS/PESZEK,06:51.0
1/17/2012,3,2,c/p/s/p/s/p/s/p/s,"Blomquist/James,G./Struzyna/Otto/James,R./Guregian/Gennaro/Monaghan",06:20.0
1/17/2012,13,2,p/s,Shald/McEachern,07:37.0
1/17/2012,13,2,p/s,Stangel/Koven,07:44.0
1/17/2012,4,2,c/p/s/p/s,"Inman/Kasprzyk/Stafford/JAMES,G.",06:37.7
1/17/2012,4,2,c/p/s/p/s,Walsh/Coppola/Banks/Peszek,06:40.2
1/17/2012,4,2,c/p/s/p/s/p/s/p/s,"Blomquist/BERTOLDO/Struzyna/Otto/James,R./Guregian/Gennaro/Monaghan",06:12.0
1/17/2012,14,2,p/s,Shald/McEachern,07:20.0
1/17/2012,14,2,p/s,Stangel/Koven,07:29.0
1/19/2012,1,3.9,c/p/s/p/s,"Struzyna/Bertoldo/Gennaro/James,G.",12:57.0
1/19/2012,1,3.9,c/p/s/p/s,"Blomquist/Otto/James,R./Monaghan",12:55.0
1/19/2012,11,3.9,c/p/s/p/s/p/s/p/s,Inman/Kasprzyk/Walsh/Coppola/Stafford/Guregian/Banks/Peszek,11:40.0
1/19/2012,2,3.9,c/p/s/p/s,"Struzyna/Bertoldo/Gennaro/James,G.",13:12.0
1/19/2012,2,3.9,c/p/s/p/s,"Blomquist/Otto/James,R./Monaghan",13:20.0
1/19/2012,12,3.9,c/p/s/p/s/p/s/p/s,Inman/Kasprzyk/Walsh/Coppola/Stafford/Guregian/Banks/Peszek,11:58.0
1/19/2012,3,3.9,c/p/s/p/s,"BLOMQUIST/Bertoldo/Gennaro/James,G.",13:13.0
1/19/2012,3,3.9,c/p/s/p/s,"STRUZYNA/Otto/James,R./Monaghan",13:18.0
1/19/2012,13,3.9,c/p/s/p/s/p/s/p/s,Inman/Kasprzyk/Walsh/Coppola/Stafford/Guregian/Banks/Peszek,11:55.0
1/24/2012,1,2.3,c/p/s/p/s/p/s/p/s,"Inman/Kasprzyk/Walsh/Coppola/Stafford/Peszek/Banks/James,G.",07:04.3
1/24/2012,1,2.3,c/p/s/p/s/p/s/p/s,"Gennaro/Bertoldo/Blomquist/Otto/Struzyna/McEachern/James,R./Guregian",07:06.7
1/24/2012,11,2.3,c/p/s/p/s,Shald/Gallagher/Spencer/Johnson,07:44.8
1/24/2012,11,2.3,c/p/s/p/s,Quie/Koven/Melander/Monaghan,07:45.1
1/24/2012,2,2.3,c/p/s/p/s/p/s/p/s,"Inman/Kasprzyk/Walsh/Coppola/Stafford/Peszek/Banks/James,G.",06:56.0
1/24/2012,2,2.3,c/p/s/p/s/p/s/p/s,"Gennaro/Bertoldo/Blomquist/Otto/Struzyna/McEachern/James,R./Guregian",06:55.2
